$Element Number
43512
$Element_id  Value
0  0.00000000000000000000e+00  0.00000000000000000000e+00
1  -2.22233438762486912310e-06  0.00000000000000000000e+00
2  -1.88349019936140393838e-06  0.00000000000000000000e+00
3  0.00000000000000000000e+00  0.00000000000000000000e+00
4  0.00000000000000000000e+00  0.00000000000000000000e+00
5  4.51331789008690975606e-06  3.22022538057353813201e-06
6  4.14409032600815407932e-06  9.08075337147096206536e-10
7  -5.56743725610431283712e-06  1.37982092418553747848e-09
8  -1.04588652902748435736e-05  3.60444278157956432551e-06
9  -4.45277555627399124205e-06  4.32905426350771449506e-06
10  0.00000000000000000000e+00  1.83871952685876749456e-06
11  0.00000000000000000000e+00  0.00000000000000000000e+00
12  5.26659277966246008873e-06  2.86089812107093166560e-06
13  1.14223012133152224123e-05  7.71266149968141689897e-06
14  1.66392310347873717546e-05  2.02409446501405909657e-05
15  -3.02238436233892571181e-06  0.00000000000000000000e+00
16  -1.83072404524864396080e-06  0.00000000000000000000e+00
17  0.00000000000000000000e+00  0.00000000000000000000e+00
18  -1.05928811535704880953e-05  5.53966947336448356509e-06
19  -1.42114686241257004440e-05  1.04335604191874153912e-05
20  -9.80464028543792665005e-06  9.14333941182121634483e-06
21  -3.15047441290516871959e-06  4.98551025884808041155e-06
22  0.00000000000000000000e+00  0.00000000000000000000e+00
23  0.00000000000000000000e+00  0.00000000000000000000e+00
24  1.31302670069999294356e-06  0.00000000000000000000e+00
25  2.39805990531749557704e-06  0.00000000000000000000e+00
26  5.32357398697058670223e-06  3.96408631786471232772e-06
27  1.11059880509856157005e-05  8.22574656922370195389e-06
28  1.63307395268930122256e-05  1.10956088974489830434e-05
29  2.10891466849716380239e-05  6.33825984550639986992e-05
30  -6.82896234138752333820e-06  5.67709776078118011355e-06
31  -3.02158150589093565941e-06  5.52000074094394221902e-06
32  0.00000000000000000000e+00  2.20541346607205923647e-06
33  4.52748215911606514961e-16  -2.18609875446418300271e-06
34  -5.20723452791571617126e-03  6.98307715356349945068e-03
35  -1.58670009113848209381e-05  1.67771377164172008634e-05
36  -1.49212273754528723657e-05  1.14057720566052012146e-05
37  -5.63376124773640185595e-06  7.27006954548414796591e-06
38  0.00000000000000000000e+00  1.67325845268351258710e-06
39  0.00000000000000000000e+00  1.89459035482286708429e-06
40  9.68637323239818215370e-07  1.01625391835113987327e-05
41  2.18647028304985724390e-06  6.68826533001265488565e-06
42  3.72930571757024154067e-06  1.21457851491868495941e-05
43  1.70556104421848431230e-05  1.52561742652324028313e-05
44  3.19574210152495652437e-05  1.50175728776957839727e-05
45  9.69779357546940445900e-05  1.48576524225063621998e-04
46  -4.23818391936947591603e-06  1.38777277243207208812e-05
47  -2.15449881579843349755e-06  1.07483419924392364919e-05
48  0.00000000000000000000e+00  3.70412612937798257917e-06
49  1.12456712778735701264e-12  -3.74326964447391219437e-06
50  5.33210368303116410971e-05  -3.95977040170691907406e-05
51  -5.19140376127324998379e-05  1.17500334454234689474e-04
52  -1.89252568816300481558e-05  1.52002839968190528452e-05
53  -1.21857092381105758250e-05  9.30078113015042617917e-06
54  -3.95028109778650105000e-06  4.60532601209706626832e-06
55  0.00000000000000000000e+00  0.00000000000000000000e+00
56  0.00000000000000000000e+00  0.00000000000000000000e+00
57  1.04194723462569527328e-05  3.97584517486393451691e-06
58  2.29161032621050253510e-05  1.50529967868351377547e-05
59  1.00306961030582897365e-05  3.46599736076314002275e-05
60  5.84901454203645698726e-06  1.82118692464428022504e-05
61  6.76892886986024677753e-06  2.15871532418532297015e-05
62  1.71593510458478704095e-05  1.14977028715657070279e-05
63  5.04850104334764182568e-05  8.03206858108751475811e-05
64  -7.15083797331317327917e-06  1.06586405308917164803e-04
65  -2.26318616114440374076e-06  1.14616468636086210608e-05
66  0.00000000000000000000e+00  4.00868793803965672851e-06
67  3.38563999058294484712e-09  -4.58099930256139487028e-06
68  1.11224826468969695270e-05  -1.40556703627225942910e-05
69  7.58370682597160339355e-02  -1.80824492126703262329e-02
70  -1.80517236003652215004e-05  1.85122207767562940717e-05
71  -1.57617560034850612283e-05  1.23450199680519290268e-05
72  -5.49089509149780496955e-06  7.78894900577142834663e-06
73  0.00000000000000000000e+00  2.20047309085202869028e-06
74  0.00000000000000000000e+00  0.00000000000000000000e+00
75  2.13840530705056153238e-06  5.07727145304670557380e-06
76  8.58607654663501307368e-06  2.75698766927234828472e-06
77  1.78177160705672577024e-05  5.66329117646091617644e-06
78  3.22650921589229255915e-05  2.97129590762779116631e-05
79  1.00572469818871468306e-05  2.75304773822426795959e-05
80  7.41292888051248155534e-06  2.43761496676597744226e-05
81  1.98687612282810732722e-05  1.51793910845299251378e-05
