code latitude longitude
01M015 40.7218451 -73.978748
01M019 40.7299221 -73.98432660000002
01M020 40.7212134 -73.9862502
01M034 40.7262133 -73.9751388
01M063 40.7245098 -73.9858954
01M064 40.7238735 -73.9817259
01M110 40.71536589999999 -73.98009139999999
01M134 40.71425440000001 -73.983141
01M137 40.7143129 -73.9833317
01M140 40.71879939999999 -73.9834896
01M142 40.7183473 -73.9842551
01M184 40.7113266 -73.9853292
01M188 40.7198538 -73.9773096
01M292 40.7135082 -73.9855915
01M292 40.7135082 -73.9855915
01M301 40.7298853 -73.98434619999999
01M315 40.72774890000001 -73.978409
01M332 40.71348589999999 -73.9854379
01M345 40.7127837 -74.0059413
01M361 40.7276354 -73.97811639999999
01M363 40.72457379999999 -73.98588660000001
01M364 40.7241935 -73.9815366
01M378 40.7201022 -73.98589079999999
01M448 40.7122113 -73.9840045
01M450 40.7293824 -73.982502
01M450 40.7293824 -73.982502
01M458 40.7223936 -73.99060419999999
01M509 40.720447 -73.9861255
01M515 40.72053409999999 -73.9859855
01M539 40.7127837 -74.0059413
01M539 40.7127837 -74.0059413
01M650 40.7226096 -73.99047279999999
01M696 40.7183357 -73.975973
01M839 40.7238748 -73.9817288
02M001 40.7125892 -73.9975292
02M002 40.7130662 -73.9917282
02M003 40.7325933 -74.0062418
02M006 40.7776248 -73.9606063
02M011 40.7442414 -74.00071969999999
02M033 40.7490193 -74.00012749999999
02M040 40.7127837 -74.0059413
02M041 40.7066905 -74.0141443
02M042 40.7160066 -73.990819
02M047 40.7382611 -73.9812093
02M051 40.7618573 -73.9952605
02M059 40.7127837 -74.0059413
02M077 40.7850277 -73.9500206
02M089 40.7169865 -74.0136874
02M104 40.73565019999999 -73.98139239999999
02M111 40.7659347 -73.9898613
02M114 40.7803942 -73.94757849999999
02M116 40.744425 -73.9776339
02M124 40.7143748 -73.9956049
02M126 40.71051509999999 -73.9968569
02M130 40.7127837 -74.0059413
02M131 40.64078 -73.9933396
02M150 40.7180827 -74.010942
02M151 40.7778885 -73.9472534
02M158 40.7703622 -73.9509537
02M167 40.7717681 -73.9579159
02M183 40.7637446 -73.9577503
02M198 40.7848234 -73.9501379
02M212 40.7208697 -74.0118552
02M217 40.7639886 -73.9485347
02M225 40.7653366 -73.9596165
02M234 40.71605170000001 -74.01152789999999
02M255 40.7354466 -73.98134
02M260 40.7127837 -74.0059413
02M276 40.7063573 -74.0175008
02M288 40.7654387 -73.9932574
02M289 40.6262259 -73.9741789
02M290 40.7751605 -73.95287909999999
02M294 40.7173375 -73.98947919999999
02M296 40.7653441 -73.9931047
02M298 40.7162489 -73.9939176
02M300 40.7654387 -73.9932574
02M303 40.7653441 -73.9931047
02M305 40.7173993 -73.9894934
02M308 40.7173096 -73.9891342
02M312 40.7127837 -74.0059413
02M313 40.7432939 -74.0027113
02M316 40.7054682 -74.0128453
02M347 40.7127837 -74.0059413
02M374 40.73541790000001 -73.9874347
02M376 40.7247209 -74.0050387
02M392 40.7433209 -74.0025806
02M393 40.7635666 -73.99081869999999
02M394 40.7166422 -73.9937577
02M397 40.710907 -74.0056579
02M399 40.7355088 -73.9874804
02M400 40.7679597 -73.9882628
02M407 40.7127837 -74.0059413
02M407 40.7127837 -74.0059413
02M408 40.7127837 -74.0059413
02M408 40.7127837 -74.0059413
02M411 40.7417951 -73.9858443
02M412 40.74239370000001 -74.0024459
02M413 40.7390894 -73.98536539999999
02M413 40.7390894 -73.98536539999999
02M414 40.8201318 -73.8985644
02M416 40.77027340000001 -73.9532809
02M418 40.704685 -74.011213
02M419 40.7434367 -74.0025275
02M420 40.7328067 -73.9827427
02M422 40.74341039999999 -74.00258810000001
02M422 40.74341039999999 -74.00258810000001
02M425 40.7089842 -74.0123338
02M427 40.7127837 -74.0059413
02M429 40.7365616 -73.995614
02M432 40.7464184 -73.9811294
02M437 40.743436 -74.0031734
02M438 40.7355088 -73.9874804
02M439 40.7419192 -73.9923177
02M440 40.7432732 -74.00265560000001
02M442 40.7127837 -74.0059413
02M449 40.7654478 -73.9596321
