0.005 237 237
313.942 237.017 237.017
502.439 237.017 237.017
674.015 237.017 237.017
830.534 237.017 237.017
976.816 237.017 237.017
1124.18 237.017 237.017
1269.14 237.017 237.017
1416.54 237.017 237.017
1560 237.017 237.017
1703.38 237.017 237.017
1842.99 237.017 237.017
1980 237.017 237.017
2113.73 237.017 237.017
2245.45 237.017 237.017
2374.2 237.017 237.017
2501.5 237.017 237.017
2626.08 237.017 237.017
2749.35 237.017 237.017
2871.29 237.017 237.017
2991.87 237.017 237.017
3109.75 237.017 237.017
3226.45 237.017 237.017
3339.55 237.003 237.003
3450.98 237.001 237.001
3561.63 237.001 237.001
