0.005 0  0 0  0
313.942 0  -0.000221867 0  -0.000221867
502.439 0  -0.000221852 0  -0.000221852
674.015 0  -0.000221871 0  -0.000221871
830.534 0  -0.000221876 0  -0.000221876
976.816 0  -0.000221876 0  -0.000221876
1124.18 0  -0.000221869 0  -0.000221869
1269.14 0  -0.000221876 0  -0.000221876
1416.54 0  -0.000221877 0  -0.000221877
1560 0  -0.000221869 0  -0.000221869
1703.38 0  -0.000221855 0  -0.000221855
1842.99 0  -0.000221859 0  -0.000221859
1980 0  -0.000221867 0  -0.000221867
2113.73 0  -0.000221866 0  -0.000221866
2245.45 0  -0.000221877 0  -0.000221877
2374.2 0  -0.000221861 0  -0.000221861
2501.5 0  -0.000221861 0  -0.000221861
2626.08 0  -0.000221861 0  -0.000221861
2749.35 0  -0.000221869 0  -0.000221869
2871.29 0  -0.000221869 0  -0.000221869
2991.87 0  -0.000221874 0  -0.000221874
3109.75 0  -0.000221856 0  -0.000221856
3226.45 0  -0.000221869 0  -0.000221869
3339.55 0  -7.50878e-06 0  -7.50878e-06
3450.98 0  -1.25214e-06 0  -1.25214e-06
3561.63 0  -6.21598e-07 0  -6.21598e-07
