$Element Number
48634
$Element_id  Value
0  0.00000000000000000000e+00  -2.21863476326689124107e-04
1  -9.45902487728744745255e-04  -3.30551440129056572914e-04
2  0.00000000000000000000e+00  2.21863476326689124107e-04
3  -9.03003674466162919998e-04  7.15234375093132257462e-04
4  -2.37305124755948781967e-04  9.80151630938053131104e-03
5  -7.23413832020014524460e-04  -6.62620761431753635406e-04
6  0.00000000000000000000e+00  0.00000000000000000000e+00
7  -1.58892143517732620239e-02  -6.10005157068371772766e-03
8  -2.69795302301645278931e-02  6.07948051765561103821e-03
9  -5.07373809814453125000e-02  4.63796034455299377441e-02
10  -7.71837122738361358643e-03  4.38187358668074011803e-04
11  -1.33027002448216080666e-04  5.74028724804520606995e-03
12  -6.64958555717021226883e-04  0.00000000000000000000e+00
13  -2.21863563638180494308e-04  0.00000000000000000000e+00
14  2.21863476326689124107e-04  0.00000000000000000000e+00
15  9.54740389715880155563e-04  -2.86479626083746552467e-04
16  -5.16454107128083705902e-04  -1.69711443595588207245e-03
17  4.33384615462273359299e-04  -1.12903665285557508469e-03
18  -2.03907787799835205078e-02  -1.12946005538105964661e-02
19  -1.97822656482458114624e-02  -1.19491703808307647705e-02
20  -2.60172281414270401001e-02  1.82553124614059925079e-03
21  -2.59903464466333389282e-02  1.80322322994470596313e-02
22  -2.81789191067218780518e-02  1.84639934450387954712e-02
23  -4.33837482705712318420e-03  2.36294306814670562744e-02
24  -9.62128117680549621582e-03  5.56953949853777885437e-03
25  -5.70691144093871116638e-03  1.02506252005696296692e-02
26  -6.20512873865664005280e-05  6.61230226978659629822e-03
27  5.57139050215482711792e-04  5.76697755604982376099e-04
28  5.34969056025147438049e-03  1.71137307916069403291e-05
29  8.36568605154752731323e-03  1.96913958916411502287e-07
30  8.38294532150030136108e-03  -1.83041242962644901127e-06
31  -1.55126431491225957870e-03  -6.54658302664756774902e-04
32  -1.93962559569627046585e-03  -3.53502720827236771584e-04
33  -2.96356086619198322296e-03  -6.73340633511543273926e-04
34  -7.11125612724572420120e-04  -2.09340919354872312397e-06
35  -1.02823227643966674805e-03  -5.28445452800951898098e-05
36  0.00000000000000000000e+00  0.00000000000000000000e+00
37  -1.48313092067837715149e-02  -2.81080766580998897552e-03
38  -1.13966569304466247559e-01  -1.93007737398147583008e-02
39  -1.11523792147636413574e-01  3.18987183272838592529e-02
40  -1.97883665561676025391e-01  1.00590802729129791260e-01
41  -8.87268334627151489258e-02  8.36131256073713302612e-03
42  -7.15545844286680221558e-03  5.10237971320748329163e-03
43  -3.83398239500820636749e-03  4.85121691599488258362e-03
44  4.83373412862420082092e-03  9.51846316456794738770e-03
45  1.31560501176863908768e-03  2.46716439723968505859e-02
46  1.57296704128384590149e-03  1.99567750096321105957e-02
47  9.50366491451859474182e-04  9.72588174045085906982e-03
48  8.83991178125143051147e-03  8.67633521556854248047e-03
49  9.96178714558482170105e-04  6.11418560147285461426e-02
50  -9.12793260067701339722e-03  4.57488000392913818359e-04
51  -1.35993864387273788452e-03  5.90521609410643577576e-04
52  -1.79172318894416093826e-03  2.21397029235959053040e-03
53  -6.21275452431291341782e-04  1.75047498196363449097e-02
54  -3.77175711037125438452e-05  6.28266076091676950455e-04
55  1.90948616364039480686e-04  1.01339034736156463623e-02
56  0.00000000000000000000e+00  0.00000000000000000000e+00
57  -1.29545275121927261353e-02  3.52319935336709022522e-03
58  -2.07729004323482513428e-02  1.42547050490975379944e-02
59  -1.73591151833534240723e-01  3.78683842718601226807e-02
60  -1.94783024489879608154e-02  7.67433783039450645447e-03
61  -2.67006233334541320801e-02  1.34466001763939857483e-02
62  -6.63327984511852264404e-03  5.27605589013546705246e-04
63  3.29385977238416671753e-04  1.69476494193077087402e-03
64  5.91598078608512878418e-03  5.30191231518983840942e-03
65  3.69617193937301635742e-02  3.50331552326679229736e-02
66  9.19094905257225036621e-02  2.12275236845016479492e-02
67  1.13438419997692108154e-01  2.37881317734718322754e-02
68  1.31714671850204467773e-01  6.13512955605983734131e-02
69  3.64279076457023620605e-02  3.36761265993118286133e-01
70  -7.08547905087471008301e-02  5.01945801079273223877e-03
71  -3.52475210092961788177e-03  2.90701654739677906036e-03
72  -5.79992833081632852554e-04  6.89727626740932464600e-03
